
"annual survey of hours and earnings  - resident analysis"
"ONS Crown Copyright Reserved [from Nomis on 28 March 2023]"
"Analysis   :","standard"
"Date       :","2022"
"Sex        :","Full Time Workers"
"pay        :","Weekly pay - gross"
"Confidence :","Standard error as a percentage of the figure"

"Area","Number of jobs","Conf %","Median","Conf %","Annual percentage change - median","Conf %","Mean","Conf %","Annual percentage change - mean","Conf %","10 percentile","Conf %","20 percentile","Conf %","25 percentile","Conf %","30 percentile","Conf %","40 percentile","Conf %","60 percentile","Conf %","70 percentile","Conf %","75 percentile","Conf %","80 percentile","Conf %","90 percentile","Conf %"

"country:Wales",872000,1.6,603.5,1.0,5.4,-,673.6,0.8,5.5,-,389.6,0.6,432.1,0.8,462.9,1.1,488.6,0.9,536.6,1.1,670.8,1.3,754.5,1.5,796.6,1.6,856.2,2.4,1044.1,4.4
"lacu:Darlington",38000,8.4,558.2,6.0,-4.3,-,655.7,4.4,-2.1,-,369.6,5.5,400.7,3.7,424.5,4.1,447.3,5.2,497.9,6.3,611.1,7.5,683.0,12.0,782.2,13.0,837.0,20.0,-,-
"lacu:County Durham",149000,4.0,574.9,3.4,4.8,-,669.0,2.0,5.6,-,376.8,1.1,421.8,1.6,442.6,2.1,472.4,2.2,519.1,2.6,662.6,3.9,747.4,4.2,804.2,4.7,856.1,5.6,1046.6,14.0
"lacu:Hartlepool",22000,10.2,593.7,5.3,3.3,-,655.2,4.3,7.4,-,374.4,4.6,412.8,7.5,484.6,6.9,498.3,7.6,556.6,5.2,638.1,6.6,720.2,10.0,749.4,13.0,863.1,14.0,-,-
"lacu:Middlesbrough",37000,8.3,555.0,6.4,5.2,-,667.2,5.2,12.2,-,383.9,2.9,414.1,3.1,437.2,3.6,455.6,3.5,492.7,5.2,613.8,7.3,694.3,8.2,726.5,13.0,764.5,17.0,-,-
"lacu:Northumberland",88000,5.2,601.8,4.0,5.2,-,740.6,3.7,10.9,-,389.2,2.3,438.5,2.3,462.5,2.6,488.0,3.0,540.8,3.0,689.9,5.4,784.0,5.8,831.9,5.3,885.2,7.9,-,-
"lacu:Redcar and Cleveland",33000,8.4,568.4,6.0,12.9,-,635.7,3.8,10.6,-,380.1,2.5,407.5,2.6,422.9,3.5,440.2,4.9,503.8,6.4,619.5,6.8,703.8,9.4,768.6,12.0,811.4,15.0,-,-
"lacu:Stockton-on-Tees",52000,6.9,609.4,4.9,5.7,-,668.8,2.7,1.2,-,402.5,2.5,449.2,3.2,474.5,3.7,501.0,3.7,549.1,4.0,670.6,5.5,751.7,6.8,797.6,7.0,857.7,8.9,-,-
"lacu:Gateshead",59000,6.3,566.7,4.5,5.1,-,668.6,3.2,4.6,-,381.1,2.0,419.7,3.4,447.8,3.3,469.7,3.4,513.7,3.2,634.0,5.7,724.5,8.7,797.4,8.8,880.3,8.9,-,-
"lacu:Newcastle upon Tyne",77000,5.7,617.2,4.2,2.5,-,736.4,4.1,3.4,-,393.4,2.1,451.8,3.3,479.1,3.0,498.6,2.7,556.6,3.5,678.0,4.6,762.9,5.7,796.4,8.5,888.8,9.5,-,-
"lacu:North Tyneside",67000,6.0,619.1,4.0,7.7,-,718.3,3.3,5.1,-,401.2,2.5,457.8,3.6,484.9,2.8,509.0,2.7,555.4,3.7,675.7,5.0,775.3,7.7,830.6,7.7,915.1,9.6,-,-
"lacu:South Tyneside",44000,7.2,571.0,4.3,10.3,-,643.8,3.2,6.0,-,381.0,2.7,420.3,3.2,443.8,3.7,471.5,4.0,519.4,4.1,622.7,6.5,710.9,7.8,779.3,9.1,815.1,12.0,-,-
"lacu:Sunderland",84000,5.3,536.6,3.7,10.7,-,600.2,2.2,9.0,-,382.0,1.9,414.6,1.8,431.1,2.1,450.8,2.6,491.7,2.7,596.6,3.9,660.5,4.4,697.2,5.5,741.5,6.5,-,-
"lacu:Blackburn with Darwen",38000,8.0,542.5,5.3,2.2,-,606.3,3.5,4.9,-,368.1,3.3,399.1,2.9,420.4,4.1,441.7,4.1,492.0,4.9,599.5,6.7,673.7,8.2,721.8,8.9,773.1,11.0,-,-
"lacu:Blackpool",37000,7.8,486.3,5.2,3.4,-,553.5,3.2,3.1,-,356.3,3.0,389.4,2.1,401.2,2.0,408.3,2.4,435.5,4.0,534.5,7.2,617.1,8.9,668.6,9.2,713.8,12.0,-,-
"lacu:Cheshire East",119000,4.5,662.3,4.3,5.7,-,798.9,3.0,5.5,-,400.0,1.8,455.2,2.3,479.1,2.3,507.5,2.9,577.4,3.6,753.0,5.0,878.2,5.5,951.6,6.3,1021.6,7.3,-,-
"lacu:Cheshire West and Chester",100000,4.9,645.8,4.8,6.1,-,757.0,2.7,5.5,-,406.5,1.9,456.0,1.8,476.4,2.2,504.4,2.7,557.4,4.0,728.2,5.2,862.4,5.8,921.5,6.3,964.2,8.1,-,-
"lacu:Halton",36000,8.0,609.5,6.5,3.6,-,693.9,3.8,4.2,-,395.4,2.6,434.3,3.8,459.7,3.4,479.1,3.6,529.6,5.7,681.9,8.3,803.9,8.8,855.5,11.0,903.6,15.0,-,-
