date,geography,geography code,Number of rooms (VOA): Total: All households,Number of rooms (VOA): 1 room,Number of rooms (VOA): 2 rooms,Number of rooms (VOA): 3 rooms,Number of rooms (VOA): 4 rooms,Number of rooms (VOA): 5 rooms,Number of rooms (VOA): 6 rooms,Number of rooms (VOA): 7 rooms,Number of rooms (VOA): 8 rooms,Number of rooms (VOA): 9 or more rooms
2021,Hartlepool,E06000001,40930,263,2860,9616,12064,10634,3300,1206,547,440
2021,Middlesbrough,E06000002,60263,275,4399,11213,19448,17981,4862,1408,400,277
2021,Redcar and Cleveland,E06000003,61635,130,4228,13131,19219,17279,5213,1647,499,289
2021,Stockton-on-Tees,E06000004,83756,383,5111,14777,28304,22069,8216,2895,1115,886
2021,Darlington,E06000005,48917,147,3824,11976,13387,12664,4447,1489,574,409
2021,Halton,E06000006,55950,124,3511,10431,20928,14362,4573,1480,395,146
2021,Warrington,E06000007,90538,216,7233,17502,26036,25282,8832,3611,1234,592
2021,Blackburn with Darwen,E06000008,58768,108,4359,16733,19813,11834,3903,1277,410,331
2021,Blackpool,E06000009,64789,680,7981,12823,13433,23538,3770,1239,555,770
2021,"Kingston upon Hull, City of",E06000010,115473,506,11868,32887,39785,22398,5583,1611,497,338
2021,East Riding of Yorkshire,E06000011,152066,358,8563,33996,44884,33279,17757,7882,3158,2189
2021,North East Lincolnshire,E06000012,69826,245,5074,9743,19878,23404,7797,2670,624,391
2021,North Lincolnshire,E06000013,73173,69,4223,12442,22741,22504,6576,2893,1033,692
2021,York,E06000014,85459,745,7618,23448,22395,18875,7900,2723,1024,731
2021,Derby,E06000015,105652,616,9611,20130,33844,29400,7744,2796,993,518
2021,Leicester,E06000016,127388,2469,17217,20444,34870,42090,6190,2581,930,597
2021,Rutland,E06000017,16693,12,825,2613,4274,4079,2403,1457,586,444
2021,Nottingham,E06000018,124744,880,15928,30000,41699,27059,5536,2107,834,701
2021,"Herefordshire, County of",E06000019,82827,846,7462,15550,22485,18474,9509,4789,1951,1761
2021,Telford and Wrekin,E06000020,76512,162,4793,16640,24049,17388,8986,3118,883,493
2021,Stoke-on-Trent,E06000021,110400,404,8306,22872,45436,26605,4701,1319,479,278
2021,Bath and North East Somerset,E06000022,79250,889,8431,15759,19937,19732,7916,3843,1452,1291
2021,"Bristol, City of",E06000023,191638,3313,27229,41741,42273,56779,11654,4400,2160,2089
2021,North Somerset,E06000024,94648,1025,7707,22015,24348,19313,11580,5446,1859,1355
2021,South Gloucestershire,E06000025,118101,442,8421,21593,30096,36962,13454,5023,1374,736
2021,Plymouth,E06000026,114558,1134,14619,28570,30761,27112,7736,2832,1003,791
2021,Torbay,E06000027,62993,1066,7590,17623,14575,14073,4514,2063,723,766
2021,Swindon,E06000030,95863,702,9388,21950,29168,21293,8573,3238,1023,528
2021,Peterborough,E06000031,84530,523,8362,17885,26632,18708,7619,3145,1077,579
2021,Luton,E06000032,78939,1908,10042,15630,20618,24486,4351,1207,448,249
