name,A,B,C,D,E,F,G,H,I
,14.342637,20.741147,21.779665,16.342667,13.442354,8.282795,3.777244,0.902641,0.388851
Isle of Anglesey,13.490034,19.47818,19.434598,20.71881,15.608112,7.623918,3.033297,0.461968,0.151084
Gwynedd,14.319238,25.380789,20.261677,17.281935,13.587089,6.626915,2.078998,0.333969,0.129391
Conwy,9.091886,14.174173,26.863774,20.572697,16.084955,8.814312,3.368493,0.743182,0.286528
Denbighshire,8.74384,15.665767,31.987155,17.331579,12.278394,8.436099,4.486765,0.697991,0.37241
Flintshire,6.050126,13.358457,29.397312,18.823248,15.642673,10.988619,4.580042,0.84606,0.313463
Wrexham,6.976274,20.652266,27.849446,16.687746,13.436536,8.504072,4.224212,1.182105,0.487344
Powys,8.838045,13.898173,19.857879,16.259566,18.969233,14.668124,6.322037,0.882399,0.304545
Ceredigion,4.917888,13.643077,21.325614,21.310846,25.271739,10.497401,2.678993,0.289461,0.064981
Pembrokeshire,10.265305,15.059306,22.863184,18.269072,19.873129,9.650775,3.350183,0.520369,0.148677
Carmarthenshire,10.034944,27.124236,20.918203,16.45363,15.052416,7.481953,2.503563,0.347142,0.083912
Swansea,15.065272,24.950468,21.729469,14.701417,11.256365,7.264142,3.491343,1.060087,0.481437
Neath Port Talbot,20.111732,41.119485,17.685201,11.060214,6.908185,2.113929,0.806264,0.160943,0.034046
Bridgend,15.808568,23.144732,22.33269,17.045156,12.083365,6.715554,2.269394,0.436897,0.163643
Vale of Glamorgan,2.33463,10.495817,23.189325,19.122927,17.29764,12.481421,9.650807,3.693993,1.733438
Rhondda Cynon Taff,42.157781,22.878291,15.370561,8.696711,6.403073,3.171554,1.084981,0.173335,0.063712
Merthyr Tydfil,50.7248,24.099124,8.529905,8.183343,5.768586,2.0831,0.577604,0.007453,0.026085
Caerphilly,18.833125,33.283129,23.429403,11.760651,8.439486,3.035254,1.021111,0.109769,0.088071
Blaenau Gwent,58.02569,24.610456,8.16409,5.243679,2.674712,1.029453,0.186608,0.00933,0.055982
Torfaen,14.138824,30.452851,28.078174,10.037757,9.945145,5.554368,1.57916,0.156729,0.056992
Monmouthshire,1.13506,7.720752,16.218493,21.409347,17.1125,18.24756,12.553535,4.069835,1.532917
Newport,9.372905,21.311332,25.800997,18.222501,11.868459,8.511414,3.833707,0.806099,0.272587
Cardiff,2.785074,12.248209,21.003106,23.073291,18.071728,13.421292,6.636165,1.80684,0.954294
